Episode,Worker,Cumulative Reward,RPS
1,0,-23.887809324109785,-0.1592520621607319
2,1,-30.753921400659646,-0.2050261426710643
3,2,-30.756707459567636,-0.20504471639711758
4,3,-26.20411087958288,-0.17469407253055255
5,0,-23.474127488093895,-0.1564941832539593
6,1,-23.76518654573962,-0.15843457697159746
7,2,-30.927016567148186,-0.20618011044765458
8,3,-33.12600375861019,-0.22084002505740125
9,0,9.879791577838025,9.879791577838025
10,1,-27.04478988453878,-0.18029859923025854
11,2,-32.07355285262511,-0.21382368568416743
12,3,-33.30638257679935,-0.22204255051199567
13,0,-20.67181337128859,-0.13781208914192392
14,1,-36.92881949462781,-0.2461921299641854
15,2,-22.862293936925,-0.15241529291283332
16,3,-26.094259397354755,-0.17396172931569837
17,0,-23.265429994406656,-0.1551028666293777
18,1,-34.41795060325532,-0.22945300402170213
19,2,-24.513351821357922,-0.1634223454757195
20,3,-27.682789414398346,-0.1845519294293223
21,0,9.857182649915385,9.857182649915385
22,1,-28.548692370242794,-0.19032461580161864
23,2,9.864641914483292,9.864641914483292
24,3,-26.898365950221287,-0.1793224396681419
25,0,-22.490180386863607,-0.14993453591242403
26,1,-30.257933465872146,-0.20171955643914763
27,2,-25.002642603729964,-0.16668428402486643
28,3,-37.55607473408287,-0.2503738315605525
29,0,-34.45192094815217,-0.22967947298768115
30,1,-26.924302104031746,-0.17949534736021164
31,2,-20.503862570599793,-0.13669241713733196
32,3,-19.382990822993154,-0.12921993881995436
33,0,-18.2133194733578,-0.12142212982238533
34,1,-28.38186442413102,-0.1892124294942068
35,2,-30.138064422732338,-0.20092042948488226
36,3,-28.332401191337546,-0.18888267460891697
37,0,-27.684617100395226,-0.18456411400263484
38,1,-5.438037603263358,-0.16478901828070783
39,2,-30.54591638485283,-0.20363944256568553
40,3,-22.52421716021913,-0.1501614477347942
41,0,-30.86014182373287,-0.20573427882488582
42,1,9.867940524717993,9.867940524717993
43,2,9.874819700367103,9.874819700367103
44,3,-25.19355275833845,-0.167957018388923
45,0,9.857750870565374,9.857750870565374
46,1,-27.121141088596175,-0.18080760725730782
