Episode,Worker,Cumulative Reward,RPS
1,3,-22.47221662852047,-0.19541057937843886
2,3,-43.00262379166561,-0.14334207930555204
3,3,-48.31569581173096,-0.16105231937243653
4,3,-56.18779838347786,-0.18729266127825953
5,3,-67.2284009975031,-0.22409466999167701
6,3,-64.48440293836181,-0.21494800979453937
7,3,-50.496676902654976,-0.16832225634218326
8,3,-33.995821541340476,-0.11331940513780159
9,3,-41.120528299552305,-0.13706842766517435
10,3,-57.57372811846608,-0.1919124270615536
11,3,-50.09139127937241,-0.1669713042645747
12,3,-67.47396535203723,-0.22491321784012408
13,0,-51.01243237867614,-0.1700414412622538
14,1,-57.93793510961352,-0.1931264503653784
15,2,-70.45317209253086,-0.23484390697510288
16,3,-60.77360160082755,-0.2025786720027585
17,0,-69.75923056946884,-0.23253076856489613
18,0,-51.86924179126065,-0.1728974726375355
19,1,-60.84137755028804,-0.20280459183429345
20,2,-40.62056315946472,-0.13540187719821575
21,3,-59.70965360420102,-0.19903217868067008
22,0,-61.65103562490968,-0.20550345208303228
23,1,-56.650686328861,-0.18883562109620333
24,2,-55.41953484871012,-0.18473178282903374
25,3,-69.52164479479273,-0.23173881598264245
26,0,-68.77211370891276,-0.22924037902970917
27,1,-50.80930295015945,-0.16936434316719817
28,2,-67.03654064787146,-0.22345513549290488
29,3,-52.059285710709695,-0.17353095236903232
30,0,-58.69090535815847,-0.19563635119386155
31,1,-48.183814789044966,-0.16061271596348323
32,2,-48.15828701387051,-0.16052762337956838
33,3,-57.635659435344316,-0.19211886478448106
34,0,-77.20283775096529,-0.2573427925032176
35,1,-50.175645591102445,-0.1672521519703415
36,2,-57.83695634503854,-0.19278985448346178
37,3,-48.94241553635459,-0.16314138512118195
38,0,-45.10872013209925,-0.15036240044033083
39,1,-55.687980958285216,-0.18562660319428406
40,2,-50.85112728966119,-0.169503757632204
41,3,-72.37093833146918,-0.24123646110489724
42,0,-73.83806567876356,-0.24612688559587853
43,1,-55.27351315319846,-0.18424504384399487
44,2,-55.54203327807355,-0.18514011092691185
45,3,-70.48917840619035,-0.23496392802063448
46,0,9.860298882452831,9.860298882452831
47,1,-37.92170601806945,-0.12640568672689817
48,2,-67.19404744662238,-0.22398015815540792
